id,jp,model,alts
1,電車はちょうど出たところだ．,The train has just left.,
2,大変だ．(My goodness!) 自転車のかぎをなくしてしまった．,My goodness!  I’ve lost the key to my bike.,※key ofは不自然
3,私は清水寺に3回行ったことがあります．,I’ve visited Kiyomizu-dera three times.,
4,私たちは昨年から（ずっと）千葉に住んでいます．,We have lived in Chiba since last year.,
5,ナミは3日間ずっと学校を休んでいます．,Nami has been absent from school for three days.,
6,私は3日間家族と青森を旅行しています．,I’ve been traveling in Aomori with my family for three days.,
7,私たちがホールに着いたとき，パーティーはすでに終わっていた．,The party had already finished when we got to the hall.,"The party had already finished when we arrived at the hall.|When we got to the hall, the party had already finished.|When we arrived at the hall, the party had already finished."
8,その日まで，エリックは雪が降るのを見たことがなかった．,Eric hadn’t seen a snowfall until that day.,"Until that day, Eric hadn't seen a snowfall.|hadn't=>had never|a snowfall=>it snow|a snowfall=>snow fall|until=>till"
9,共同で事業を始めたとき，彼らは15年来の知り合いだった．,They had known each other for 15 years when they started their business together.,"When they started their business together, they had known each other for 15 years.|15=>fifteen|started=>began"
10,私はその前の日に買った腕時計をなくした．,I lost the watch I had bought the day before.,I lost the watch that I had bought the day before.
11,あなたがたが昨日ここに来られるまで，3日間ずっと雨が降っていました．,It had been raining for three days before you came here yesterday.,"Before you came here yesterday, it had been raining for three days.|※untilだと着いたその時という感じ"
12,来週の今ごろまでには私たちはその仕事を終えているでしょう．,By this time next week we will have finished the job.,We will have finished the job by this time next week.|we will=>we'll
13,この本をもう1度読めば，3回読んだことになります．,"If I read this book again, I’ll have read it three times.",I’ll have read this book three times if I read it again.|I'll=>I will
14,来月で，私たちは10年間ここで暮らしたことになります．,We will have lived here for ten years next month.,"Next month, we will have lived here for ten years.|We will=>We'll"
